Bandit,Reward,Algorithm
3,3.6721678192073752,ThompsonSampling
1,1.1627522740365142,ThompsonSampling
2,1.6503728197498486,ThompsonSampling
2,3.583947229127502,ThompsonSampling
3,3.407226217590451,ThompsonSampling
3,4.3027082888129256,ThompsonSampling
2,2.5367741641034134,ThompsonSampling
3,3.043059529535142,ThompsonSampling
3,4.079522026198671,ThompsonSampling
2,4.453517282621418,ThompsonSampling
3,3.2711755852244293,ThompsonSampling
3,3.9848697747690567,ThompsonSampling
3,2.7242157502742805,ThompsonSampling
3,4.460663442413069,ThompsonSampling
2,3.3251125429037534,ThompsonSampling
2,3.7671528307960065,ThompsonSampling
2,2.3352233730274383,ThompsonSampling
3,1.5702338707837886,ThompsonSampling
3,3.5651868307654104,ThompsonSampling
3,2.591749263025023,ThompsonSampling
2,4.288020995481261,ThompsonSampling
2,3.5592653263809786,ThompsonSampling
3,4.273851591171175,ThompsonSampling
3,3.762061687085024,ThompsonSampling
3,4.017300735069141,ThompsonSampling
3,5.614885429673768,ThompsonSampling
2,4.184633433027903,ThompsonSampling
3,5.6997832084349636,ThompsonSampling
3,4.002475932032022,ThompsonSampling
1,1.348934087519008,ThompsonSampling
3,5.561011557867034,ThompsonSampling
2,1.6039844157722585,ThompsonSampling
3,2.917894242286769,ThompsonSampling
3,5.7652794347019505,ThompsonSampling
2,2.918729441368601,ThompsonSampling
3,3.0946260788654305,ThompsonSampling
3,6.300194930322766,ThompsonSampling
3,2.138995940254099,ThompsonSampling
3,4.2404409848096725,ThompsonSampling
3,4.575094279378909,ThompsonSampling
3,3.971545025566155,ThompsonSampling
3,4.79606137422806,ThompsonSampling
3,3.9063724738804155,ThompsonSampling
3,5.979105270315319,ThompsonSampling
3,5.59214527101618,ThompsonSampling
3,1.1513405900567992,ThompsonSampling
2,2.49459730162571,ThompsonSampling
2,2.1314909135704156,ThompsonSampling
2,2.4260898255856516,ThompsonSampling
3,2.4007069970938693,ThompsonSampling
3,4.00354511913145,ThompsonSampling
3,2.2966057635654984,ThompsonSampling
2,3.611805515922439,ThompsonSampling
3,3.158404580104441,ThompsonSampling
3,4.025425539660182,ThompsonSampling
3,5.6464656855354285,ThompsonSampling
2,3.56352767432291,ThompsonSampling
3,2.640431074114908,ThompsonSampling
3,5.269226497994933,ThompsonSampling
3,2.4554620243976557,ThompsonSampling
3,2.9900533159811955,ThompsonSampling
3,3.3993737404008275,ThompsonSampling
2,3.457436434655638,ThompsonSampling
2,2.2079263482887264,ThompsonSampling
3,3.3952066665561946,ThompsonSampling
3,4.291928613366887,ThompsonSampling
3,3.626499295321696,ThompsonSampling
3,4.645227794798204,ThompsonSampling
3,5.574367007286762,ThompsonSampling
3,4.919740164118585,ThompsonSampling
3,4.438516162451703,ThompsonSampling
3,4.633879375624146,ThompsonSampling
2,3.960890109098822,ThompsonSampling
3,2.7209715326799317,ThompsonSampling
3,3.4677260491283937,ThompsonSampling
3,3.042620135130862,ThompsonSampling
3,4.884864681054389,ThompsonSampling
3,2.30197314898292,ThompsonSampling
3,2.172326464654039,ThompsonSampling
3,3.1386140812563816,ThompsonSampling
3,4.718632181244521,ThompsonSampling
2,4.524953546187717,ThompsonSampling
3,4.4506227774496105,ThompsonSampling
3,3.10817256145779,ThompsonSampling
2,4.3568250405681646,ThompsonSampling
2,1.1645216387996478,ThompsonSampling
2,3.465650920747903,ThompsonSampling
2,3.5152512143939667,ThompsonSampling
3,4.790149155284443,ThompsonSampling
3,3.262341876616672,ThompsonSampling
3,4.072348999418064,ThompsonSampling
3,5.069937063921565,ThompsonSampling
3,4.651886103698758,ThompsonSampling
3,1.8697358484956732,ThompsonSampling
3,4.746666248447696,ThompsonSampling
3,3.962535244837043,ThompsonSampling
3,3.364499782152615,ThompsonSampling
1,2.6416058793210864,ThompsonSampling
3,2.6302105662125084,ThompsonSampling
3,5.281339284931665,ThompsonSampling
3,2.7656205303645587,ThompsonSampling
3,2.085628322868388,ThompsonSampling
3,3.630824387385064,ThompsonSampling
3,5.367695491926861,ThompsonSampling
3,1.8703640031500894,ThompsonSampling
3,5.727202446932962,ThompsonSampling
3,5.124631057493971,ThompsonSampling
3,4.063820284911271,ThompsonSampling
1,0.8769369775162503,ThompsonSampling
3,2.3821691940590646,ThompsonSampling
3,2.9613741031443253,ThompsonSampling
3,3.14403508123514,ThompsonSampling
3,3.348472297185421,ThompsonSampling
3,5.721452558808808,ThompsonSampling
3,4.040720667911467,ThompsonSampling
2,2.2791851141414248,ThompsonSampling
2,3.987023422105123,ThompsonSampling
3,4.852047789917813,ThompsonSampling
2,4.177370455294847,ThompsonSampling
2,4.6011096423767155,ThompsonSampling
3,4.959549555550608,ThompsonSampling
3,5.149161442818434,ThompsonSampling
3,3.237698908221282,ThompsonSampling
3,4.251453343087488,ThompsonSampling
3,5.814676093332442,ThompsonSampling
